axis,role,topic_id,n_matched_sentences,share_of_axis_pct,label
security_strict,target_strict,0,159,1.45,Moving Through Doorways and Vehicles
security_strict,target_strict,100,156,1.42,Promising to Find Her
security_strict,target_strict,3,151,1.38,Demanding An Explanation
security_strict,target_strict,67,142,1.29,Newcomer Draws Matchmaking Remarks
security_strict,target_strict,65,120,1.09,Declaring A True Partnership
security_strict,target_strict,366,113,1.03,Paralyzed By Irrational Fear
kissing_control,positive_control,1,6962,15.89,Straps Sliding Down Her Arms
kissing_control,positive_control,7,6758,15.42,Kissing With Tongue and Urgency
kissing_control,positive_control,197,3980,9.08,Lingering Farewell Kiss
kissing_control,positive_control,368,3048,6.96,Lips Curving Into A Smile
kissing_control,positive_control,41,2690,6.14,Gripping Her Neck and Pulling Close
kissing_control,positive_control,5,1402,3.2,Flirtatious Wink Across The Room
kissing_control,positive_control,245,1079,2.46,Lip Biting and Nervous Pout
kissing_control,positive_control,126,1062,2.42,Fingertips Stroking Her Cheek
kissing_control,positive_control,107,794,1.81,Gritted Teeth and Clenched Fists
kissing_control,positive_control,23,554,1.26,Gasping For Calming Breaths
wedding_hea_control,positive_control,24,5097,14.82,Confronting An Unwanted Marriage
wedding_hea_control,positive_control,167,2347,6.82,Planning A Wedding Reception
wedding_hea_control,positive_control,4,2002,5.82,Refusing to Be Used
wedding_hea_control,positive_control,170,869,2.53,Staying Close Despite Long Separation
wedding_hea_control,positive_control,139,499,1.45,Admiring Her Grace and Beauty
wedding_hea_control,positive_control,20,497,1.45,Warning About Doing Things Right
wedding_hea_control,positive_control,144,436,1.27,Moving on to The Next Destination
wedding_hea_control,positive_control,75,361,1.05,Talking About Being A Father
wedding_hea_control,positive_control,39,339,0.99,
wedding_hea_control,positive_control,29,335,0.97,Confessing Long-Held Love
possessive_control,positive_control,1,1337,5.5,Straps Sliding Down Her Arms
possessive_control,positive_control,293,751,3.09,Admitting Jealousy Out Loud
possessive_control,positive_control,4,732,3.01,Refusing to Be Used
possessive_control,positive_control,41,588,2.42,Gripping Her Neck and Pulling Close
possessive_control,positive_control,20,503,2.07,Warning About Doing Things Right
possessive_control,positive_control,26,478,1.97,Held Under A Long Stare
possessive_control,positive_control,17,445,1.83,Discussing Rooms and Privacy
possessive_control,positive_control,211,322,1.32,Casual Offers and Reassurances
possessive_control,positive_control,144,301,1.24,Moving on to The Next Destination
possessive_control,positive_control,191,294,1.21,Working to Pay The Bills
spaceflight_negcontrol,negative_control,200,28,6.98,Racing to Catch A Flight
spaceflight_negcontrol,negative_control,106,21,5.24,Running Along The River Bank
spaceflight_negcontrol,negative_control,27,15,3.74,Racing The Approaching Storm
spaceflight_negcontrol,negative_control,2,15,3.74,Phone Numbers Exchanged
spaceflight_negcontrol,negative_control,0,10,2.49,Moving Through Doorways and Vehicles
spaceflight_negcontrol,negative_control,121,9,2.24,Revealing Plans to The Prince
spaceflight_negcontrol,negative_control,20,9,2.24,Warning About Doing Things Right
spaceflight_negcontrol,negative_control,296,9,2.24,Dangerous Glint in His Eye
spaceflight_negcontrol,negative_control,26,7,1.75,Held Under A Long Stare
spaceflight_negcontrol,negative_control,302,6,1.5,
accounting_negcontrol,negative_control,53,34,14.59,Opening An Envelope or Document
accounting_negcontrol,negative_control,22,26,11.16,Negotiating Payment and Debts
accounting_negcontrol,negative_control,112,14,6.01,Desperate Need For A Job
accounting_negcontrol,negative_control,266,12,5.15,
accounting_negcontrol,negative_control,191,11,4.72,Working to Pay The Bills
accounting_negcontrol,negative_control,365,9,3.86,Frantic Longing After Weeks Apart
accounting_negcontrol,negative_control,240,8,3.43,Unsure How to Offer Comfort
accounting_negcontrol,negative_control,20,4,1.72,Warning About Doing Things Right
accounting_negcontrol,negative_control,8,3,1.29,
accounting_negcontrol,negative_control,268,3,1.29,Vivid Colors Remarked Upon
