family,topic_id,topic_label,taxonomy_id,cliffs_delta,ci_low,ci_high,verdict
emotional_security,247,Promising You Will Not Be Alone,4.6,0.05283158254748699,0.028641630060564527,0.07359688455977853,directional_only
emotional_security,258,Shouting Above The Crowd,9.1,0.09429054261871173,0.07478175346920334,0.11429405777502079,directional_only
emotional_security,273,Mentor Gives Firm Instructions,4.6,0.0874523969867107,0.06600928220905856,0.1100460308706211,directional_only
emotional_security,289,Quick Peck on The Forehead,4.6,0.09434483243746628,0.07726058171686737,0.11301834828042472,directional_only
emotional_security,293,Admitting Jealousy Out Loud,4.7,-0.013808257846283478,-0.03601682258328033,0.005946954359410413,no reliable effect
emotional_security,299,Pledging to Have Your Back,4.6,0.03856926771572011,0.01915513001937286,0.059655253630868786,directional_only
emotional_security,305,Confessing A Lifelong Regret,4.5,0.008245667559359626,-0.018141973640687644,0.030410366268743213,no reliable effect
emotional_security,307,Hauling Someone Up The Stairs,4.6,0.08632467923947851,0.0672272640769888,0.10639960849305838,directional_only
emotional_security,352,Daring Someone to Try,2.1,0.0005130168961737791,-0.020512533286262694,0.020365911554150396,no reliable effect
emotional_security,355,Blanket Draped Over Someone,4.6,0.012604359224347439,-0.012101388498599734,0.035163173559515606,no reliable effect
emotional_security,356,Admitting Exhaustion After A Long Day,4.6,0.04889465856045727,0.027935748400840125,0.06748875912519546,directional_only
emotional_security,372,Told to Keep Up Strength,4.6,0.1448172158852885,0.12248724608837844,0.16487077855613452,clears_gate
emotional_security,61,Planning to Exchange Rings,8.3a,0.051177129509019315,0.03037784892938507,0.07288839330375949,directional_only
emotional_security,65,Declaring A True Partnership,4.5,-0.023900837310999012,-0.048208043766350336,-0.0038787284390429367,directional_only
emotional_security,93,Meal Plans Casually Arranged,4.2,-0.02558152313151263,-0.05113294058833088,-0.008248329146912125,directional_only
emotional_security,143,Complaining About Family Pressure,5.1,0.11178806363905092,0.0909536634207825,0.13322007144219078,clears_gate
emotional_security,167,Planning A Wedding Reception,5.3a,0.027961299823769714,0.004917082335253208,0.04922100494978666,directional_only
emotional_security,170,Staying Close Despite Long Separation,1.6,-0.06236718057866375,-0.08172992719691523,-0.04113840842683065,directional_only
emotional_security,190,Offering to Get Someone Cleaned Up,4.6,0.05106906066281591,0.029607288320603563,0.07334948552734857,directional_only
emotional_security,277,Promising to Handle The Lawyer,4.6,0.004340522088549736,-0.014024961969763052,0.025886231124163345,no reliable effect
emotional_security,315,Claiming Her As His Own,4.7,0.07235366139221133,0.05599031141997283,0.09021754656428267,directional_only
emotional_security,351,Warm Greeting Upon Return,4.2,0.0535053892496089,0.03354429075058374,0.07388888935508729,directional_only
emotional_security,358,Reassuring Squeeze of The Hand,4.6,0.08369848222741783,0.06127217719029319,0.10643389171092976,directional_only
